Country ,Country IOS Code,Region,Population  2012 (in thousands),GDP based on PPP  2011 in dollars,GDP in current Dollars 2012 (in millions ),GDP Per Capita based on PPP  2011,GDP Per Capita in current Dollars 2011,Human Development Index (HDI) value 2012
Slovak Republic,SVK,Eastern Europe,5450.00,135652.71,91347.81,25129.72,17762.43,0.840
Slovenia,SVN,Southern Europe,2072.00,57799.56,45378.39,28156.45,24480.33,0.892
Solomon Islands,SLB,Melanesia,561.00,n/a,1008.42,n/a,n/a,0.530
Somalia,SOM,Eastern Africa,10496.00,n/a,n/a,n/a,n/a,n/a
South Africa,ZAF,Southern Africa,52776.00,611138.77,384312.67,12111.36,7962.80,0.629
South Sudan,SSD,Eastern Africa,11296.00,n/a,10220.26,n/a,n/a,n/a
Spain,ESP,Southern Europe,46927.00,1483223.71,1322114.87,32156.47,31534.50,0.885
Sri Lanka,LKA,Southern Asia,21273.00,169263.20,59423.01,8110.75,2835.53,0.715
Sudan,SDN,Northern Africa,37964.00,152425.55,58768.80,3607.98,1655.97,0.414
Suriname,SUR,South America,539.00,7808.71,5012.12,14462.99,8081.53,0.684
Swaziland,SWZ,Southern Africa,1250.00,7614.40,3744.47,6327.77,3399.11,0.536
Sweden,SWE,Northern Europe,9571.00,394624.73,523942.29,41761.44,56704.40,0.916
Switzerland,CHE,Western Europe,8078.00,405921.20,631173.03,51582.23,83854.12,0.913
Syrian Arab Republic,SYR,Western Asia,21898.00,n/a,n/a,n/a,n/a,0.648
Taiwan (China),TWN,Eastern Asia,2336.00,907144.00,n/a,39059.10,20030.41,n/a
Tajikistan,TJK,Central Asia,8208.00,17286.97,7632.61,2242.59,846.28,0.622
Tanzania (United Republic),TZA,Eastern Africa,49253.00,71835.72,28242.43,1554.26,516.55,0.476
Thailand,THA,South-Eastern Asia,67011.00,898963.00,365965.82,13298.86,5395.30,0.690
Timor-Leste,TMP,South-Eastern Asia,1133.00,n/a,1293.00,n/a,n/a,0.576
Togo,TGO,Western Africa,6817.00,8087.14,3813.83,1313.95,598.85,0.459
Tokelau,TKL,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Tonga,TON,Polynesia,105.00,n/a,471.58,n/a,n/a,0.710
Trinidad and Tobago,TTO,Caribbean,1341.00,38317.23,23320.26,28743.34,17659.68,0.760
Tunisia,TUN,Northern Africa,10997.00,109315.69,45662.04,10318.59,4340.21,0.712
Turkey,TUR,Western Asia,74933.00,1314896.51,789257.49,17780.89,10434.94,0.722
Turkmenistan,TKM,Central Asia,5240.00,n/a,35164.21,n/a,n/a,0.698
Turks and Caicos Islands,TCA,Caribbean,n/a,662.39,n/a,20878.38,22971.37,n/a
Tuvalu,TUV,Polynesia,10.00,n/a,39.88,n/a,n/a,n/a
Uganda,UGA,Eastern Africa,37579.00,55119.17,20032.24,1597.23,527.74,0.456
Ukraine,UKR,Eastern Europe,45239.00,379139.83,176308.83,8295.17,3575.49,0.740
United Arab Emirates,ARE,Western Asia,9346.00,503168.07,383799.19,60886.23,42181.99,0.818
United Kingdom,GBR,Northern Europe,63136.00,2201439.29,2475781.99,35091.09,39241.28,0.875
United States of America,USA,Northern America,320051.00,15533800.00,16244600.00,49782.08,49782.08,0.937
Uruguay,URY,South America,3407.00,58687.88,49919.73,17342.96,13722.00,0.792
Uzbekistan,UZB,Central Asia,28934.00,n/a,51112.75,n/a,n/a,0.654
Vanuatu,VUT,Melanesia,253.00,n/a,787.07,n/a,n/a,0.626
Venezuela (Bolivarian Republic of),VEN,South America,30405.00,500326.03,381286.24,16964.81,10731.12,0.748
Viet Nam,VNM,South-Eastern Asia,91680.00,414339.08,155820.00,4716.97,1543.03,0.617
Virgin Islands (United States),TCA,Caribbean,n/a,851.25,n/a,30290.40,32579.88,n/a
Wallis and Futuna Islands,WLF,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Western Sahara,ESH,Northern Africa,n/a,n/a,n/a,n/a,n/a,n/a
Yemen,YEM,Western Asia,24407.00,88565.78,35737.15,3716.10,1317.81,0.458
Zambia,ZMB,Eastern Africa,14539.00,42509.94,20590.28,3154.74,1543.65,0.448
Zimbabwe,ZWE,Eastern Africa,14150.00,17575.27,9802.36,1377.98,695.09,0.397
